Data,Arrecadacao
01/01/2010,3299311
01/02/2010,2415158
01/03/2010,2613292
01/04/2010,2533679
01/05/2010,2426702
01/06/2010,2470459
01/07/2010,2609291
01/08/2010,3604363
01/09/2010,2571657
01/10/2010,2477131
01/11/2010,2533387
01/12/2010,2614529
01/01/2011,3850949
01/02/2011,2767892
01/03/2011,2933019
01/04/2011,2880387
01/05/2011,2494322
01/06/2011,2800248
01/07/2011,2787563
01/08/2011,2813031
01/09/2011,2866448
01/10/2011,2810853
01/11/2011,2849528
01/12/2011,3157952
01/01/2012,4368558
01/02/2012,3004278
01/03/2012,3321157
01/04/2012,3145934
01/05/2012,2920887
01/06/2012,3027938
01/07/2012,3102266
01/08/2012,3080324
01/09/2012,3062126
01/10/2012,3180518
01/11/2012,3193536
01/12/2012,3446384
01/01/2013,5295883
01/02/2013,4105706
01/03/2013,3817682
01/04/2013,3657706
01/05/2013,3563558
01/06/2013,3678682
01/07/2013,3563388
01/08/2013,3665695
01/09/2013,3758508
01/10/2013,3819554
01/11/2013,3855253
01/12/2013,3836488
01/01/2014,5421187
01/02/2014,3854677
01/03/2014,3939469
01/04/2014,3711495
01/05/2014,3541494
01/06/2014,3604519
01/07/2014,3639599
01/08/2014,3621008
01/09/2014,3598134
01/10/2014,3621588
01/11/2014,3755670
01/12/2014,3864993
01/01/2015,5774586
01/02/2015,4185463
01/03/2015,4396698
01/04/2015,4018107
01/05/2015,4063825
01/06/2015,4131957
01/07/2015,4075758
01/08/2015,3916651
01/09/2015,4154162
01/10/2015,3966277
01/11/2015,3918288
01/12/2015,4352525
01/01/2016,6360023
01/02/2016,4408531
01/03/2016,4748431
01/04/2016,4278694
01/05/2016,4273985
01/06/2016,4350053
01/07/2016,4283739
01/08/2016,4816248
01/09/2016,4374269
01/10/2016,4758541
01/11/2016,4661014
01/12/2016,5206376
01/01/2017,6974641
01/02/2017,5075192
01/03/2017,4741150
01/04/2017,4924371
01/05/2017,4686747
01/06/2017,4062240
01/07/2017,4775886
01/08/2017,4798030
01/09/2017,5522158
01/10/2017,4817980
01/11/2017,4340612
01/12/2017,4706995
